"","sub_id","age","sex","group","dynamic_pre","dynamic_post","static_pre","static_post","control_pre","control_post"
"1",1,29,"f","a",22,23,24,24,21,22
"2",2,37,"m","b",38,42,36,37,39,40
"3",3,55,"f","c",20,20,19,20,21,21
"4",4,32,"f","a",38,38,35,39,34,35
"5",5,43,"m","b",38,40,37,40,36,38
"6",6,42,"m","c",39,41,34,36,34,35
"7",7,28,"f","a",36,42,32,39,34,37
"8",8,30,"m","b",48,54,50,53,53,55
"9",9,28,"m","c",26,34,24,32,23,25
"10",10,21,"f","a",31,36,23,28,30,33
"11",11,29,"m","b",43,53,46,50,44,49
